city,county,exteriorConstruction,floorSizeValue,hvacTypes,lotSizeValue,lotSizeUnit,mostRecentPricePerSquareFoot,mostRecentStatus,mlsNumber,neighborhoods,numBathroom,numBedroom,numFloor,numParkingSpaces,parkingTypes,prices,propertyType,province,sewerType,yearBuilt,parkingTypes_cleaned,lotSizeUnit_encoded
Las Cruces,Dona Ana,"Stucco,Frame,STUCCO,FRAME,Frame, Stucco",1918.0,"Natural Natural Gas,FORCED AIR,Heating-Gas Heat Forced Air,Fireplace(s),Central Air,Has Cooling,Heating only,Cooling-Central Air,Heating-Forced Air,GAS,Forced Air,Forced air,Heating and Cooling,Has Heating,NONE,Natural Gas",0.2,Acres,221.53,For Sale,2502122,"Las Cruces,Metro Verde",2.5,4.0,1.0,2.0,Attached Garage,424900.0,Single Family Dwelling,NM,Public,2023.0,attached garage,0
Mission,Hidalgo County,"MAT/RAFT FOUNDATION (SLAB),BRICK",1973.0,CENTRAL,8472.0,Square Feet,77.85,For Sale,364224,Texas,2.0,3.0,1.0,483.0,Attached Garage,153600.0,Single Family Dwelling,TX,Public,2009.0,attached garage,1
Houston,Harris County,Brick,2788.0,"Central Electric,Cooling: Central Air, Electric, Zoned,Heating-Gas Heat Zone, Central,Electric,CentralAir,Cooling Y N: Yes,Central, CentralElectric, Zoned,Central Air,Zoned,Heating: Central, Gas, Zoned,Cooling-Central Air, Electric, Gas, A/C - Zone,Ceiling Fan(s),Gas,Heating Yn: Yes,Central Gas,Natural Gas,Cooling-Central Air, A/C - Zone, Ceiling Fan(s), Attic Ventilator",5618.0,Square Feet,161.37,Rental,73702788,"Outlying Harris County,Texas,Oaktree Place,Houston",2.5,34.0,2.0,13.0,Attached Garage,825493.9891451831,Single Family Dwelling,TX,Public,2000.0,attached garage,1
Deltona,Volusia,"Stucco,Block,Concrete,Masonry/concrete Masonry Units (cmus),Block, Concrete, Stucco,Mat/raft Foundation (slab)",1980.0,"Has Cooling,Cooling: Central Air,Cooling-Central Air, Ceiling Fan(s),Electric,Heating-Central,Forced Air,Heating: Central,Central,Has Heating,Central Air,HVACCooling",0.96,Acres,226.72,Pending,O6277702,"Deltona,DELTONA LAKES UNIT 59,Deltona Lakes,Deltona Lakes Unit 59,Florida",2.0,3.0,1.0,2.0,"Carport,Attached Garage",484900.0,Single Family Dwelling,FL,Septic,2001.0,"attached garage, carport",0
WINNETKA,cook,Brick,2930.0,"Heating: Central Duct,Cooling: Cooling (Central)",6929.0,Square Feet,232.87,Pending,11085296,"Illinois,North Shore",2.5,4.0,2.0,3.0,"Detached Garage,Attached Garage",825493.9891451831,Single Family Dwelling,IL,Public,1989.0,"attached garage, detached garage",1
Claymont,New Castle,"Stucco,Other",825.0,"Cooling-None,Electric,Electric Heating,Heating-Electric Heating None,Heating-Electric Heating Heat Pump, Wall Unit, Forced Air,Has Cooling,Heating only,Cooling-Central Air,Heat Pump,No Cooling,Central A/C,Forced Air,Heating-Electric Heating None, Heat Pump, Forced Air,None",0.04,Acres,254.42,Pending,DENC2077364,"Overlook Colony,NEW CASTLE,Claymont,Delaware",1.0,2.0,2.0,20.317147192716238,"Carport,Attached Garage",85000.0,Townhouse,DE,Public,1920.0,"attached garage, carport",0
Lytle,Atascosa County,"Stucco,Other",2700.0,"Other Cooling,Central Electric",43067.04824884569,Square Feet,203.67,Pending,1871113,Illinois,3.5,5.0,1.0,3.0,Attached Garage,549900.0,Single Family Dwelling,TX,Septic,2025.0,attached garage,1
Liberty Hill,Williamson County,"Stucco,MAT/RAFT FOUNDATION (SLAB),HardiPlank Type,Stone,Hardiplank Type",2160.0,"Ceiling Fans,Air Conditioning,Ceiling Fan(s),Energy Star Qualified Equipment,CENTRAL,Electric,Heating and Cooling,Central,Central Air,ENERGY STAR Qualified Equipment,Other",4792.0,Square Feet,158.26,Rental,ABORTX-9557545,Liberty Hill,2.5,4.0,2.0,2.0,Attached Garage,2295.0,Single Family Dwelling,TX,Public,2023.0,attached garage,1
Philadelphia,Philadelphia,"BRICK,MASONRY/CONCRETE MASONRY UNITS (CMUS)",1280.0,NONE,1760.0,Square Feet,127.34,Sold,PAPH2391230,"Mayfair,Pennsylvania",1.0,3.0,2.0,1.0,Attached Garage,163000.0,Single Family Dwelling,PA,Public,1945.0,attached garage,1
Perry,Houston,Brick,2004.0,"Central Electric,Cooling-Central Air, Heat Pump, Ceiling Fan(s),Heat Pump,Ceiling Fan(s),Cooling-Central Air, Ceiling Fan(s),Electric,Heating-Electric Heating Central,Central,Central Air,Heating-Electric Heating Heat Pump, Central",0.35,Acres,167.17,For Sale,254069,"HIGHLAND PARK AT SUGARLOAF,Highland Park,Perry,Highland Park At Sugarloaf",2.0,4.0,1.0,2.0,Attached Garage,335000.0,Single Family Dwelling,GA,Public,2024.0,attached garage,0
